,average_monthly_reads,Time Complexity Class,Time Complexity Bin,reads_bin
427,1332.1958762886595,5.0,5,3
428,0.0,5.0,5,0
429,0.0,5.0,5,0
430,0.0,5.0,5,0
431,0.0,5.0,5,0
432,0.0,5.0,5,0
433,0.0,5.0,5,0
434,0.0,6.0,6,0
435,0.0,8.0,8,0
436,17731.164948453606,8.0,8,4
437,0.0,8.0,8,0
438,7645.051546391753,8.0,8,3
439,0.0,8.0,8,0
440,5597.020618556701,4.0,4,3
441,273.27450980392155,5.01,5,2
442,563.979381443299,8.0,8,2
443,3842.19587628866,8.0,8,3
444,20733.81443298969,3.0,3,4
445,478.7234042553192,3.0,3,2
446,0.0,5.0,5,0
447,0.0,5.0,5,0
448,0.0,3.0,3,0
449,6916.064516129032,3.0,3,3
450,405.35051546391753,5.0,5,2
451,4371.092783505154,3.0,3,3
452,1401.5360824742268,5.0,5,3
453,115.31460674157304,5.0,5,2
454,6916.064516129032,5.0,5,3
455,197.7835051546392,3.0,3,2
456,10251.061224489797,5.0,5,4
457,10251.061224489797,5.0,5,4
458,1121.1546391752577,5.0,5,3
459,1365.5670103092784,4.0,4,3
460,2665.7319587628867,3.0,3,3
461,8510.536082474227,6.0,6,3
462,2304.5257731958764,5.5,5,3
463,554.2886597938144,4.1864298,4,2
464,554.2886597938144,5.857,5,2
465,554.2886597938144,3.0,3,2
466,0.0,5.5,5,0
467,634.2886597938144,5.5,5,2
468,554.2886597938144,5.376,5,2
469,0.0,4.33,4,0
470,41709.948453608245,7.0,7,4
471,6937.633802816901,7.0,7,3
472,2231.9896907216494,3.0,3,3
473,5122.742268041237,3.0,3,3
474,17.5,2.0,2,1
475,0.0,2.0,2,0
476,2472.907216494845,4.0,4,3
477,0.0,4.375,4,0
478,0.0,3.0,3,0
479,0.0,2.501,2,0
480,0.0,4.25,4,0
481,0.0,2.5,2,0
482,0.0,4.0,4,0
483,0.0,4.0,4,0
484,0.0,2.51,2,0
485,1938.1443298969075,2.635,2,3
486,0.0,4.011,4,0
487,950.2886597938144,2.5,2,2
